h,a,grnd,h_wins_5p,h_wins_50p,h_wins_95p,a_wins_5p,a_wins_50p,a_wins_95p,h_grnd_5p,h_grnd_50p,h_grnd_95p,a_grnd_5p,a_grnd_50p,a_grnd_95p,h_vs_a_5p,h_vs_a_50p,h_vs_a_95p,h_w_streak,a_w_streak,h_l_streak,a_l_streak
Carlton,Richmond,M.C.G.,0,0.1,0.3,0.6,0.8,1,0,0.1,0.3,0.4,0.8,1,0,0,0,0,0,0,0
Collingwood,Geelong,M.C.G.,0.2,0.5,0.8,0.3,0.6,0.8,0.4,0.6,0.8,0,0.2,0.6,0,0.4,0.8,0,0,0,0
Melbourne,Port Adelaide,M.C.G.,0.3,0.6,0.8,0.2,0.4,0.7,0.3,0.6,0.8,0.2,0.6,1,0,0.4,0.8,0,0,0,0
Adelaide,Hawthorn,Adelaide Oval,0.3,0.6,0.8,0.5,0.7,0.9,0.3,0.6,0.8,0.4,0.8,1,0,0.2,0.6,0,0,0,0
Western Bulldogs,Sydney,Docklands,0.2,0.5,0.8,0.2,0.4,0.7,0.3,0.6,0.8,0,0.4,0.8,0.2,0.6,1,0,0,0,0
Brisbane Lions,West Coast,Gabba,0.3,0.5,0.8,0.5,0.7,0.9,0.1,0.3,0.6,0.4,0.8,1,0,0.2,0.6,0,0,0,0
St Kilda,Gold Coast,Docklands,0.1,0.3,0.5,0,0.1,0.3,0,0.2,0.4,0,0.2,0.6,0.4,0.8,1,0,0,0,0
Greater Western Sydney,Essendon,Sydney Showground,0.5,0.7,0.9,0.3,0.6,0.8,0.5,0.7,0.9,0,0.4,0.8,0.4,0.8,1,0,0,0,0
Fremantle,North Melbourne,Perth Stadium,0.1,0.3,0.5,0.2,0.4,0.7,0.2,0.5,0.8,0,0.5,1,0.2,0.6,1,0,0,0,0
